ANO,REGIAO,UF,NO_MUNICIPIO,TP_CATEGORIA,TP_DEPENDENCIA,PER_DOC_CUR_SUP_INF,PER_DOC_CUR_SUP_INF_PRE,PER_DOC_CUR_SUP_INF_CRE
2011,Nordeste,MA,Santa Luzia,Total,Total,12.4,12.5,0
2011,Nordeste,MA,Santa Luzia,Total,Estadual,--,--,--
2011,Nordeste,MA,Santa Luzia,Total,Municipal,13.1,13.2,0
2011,Nordeste,MA,Santa Luzia,Total,Privada,0,0,--
2011,Nordeste,MA,Santa Luzia,Total,Publico,13.1,13.2,0
2011,Nordeste,MA,Santa Luzia,Urbana,Total,22.9,23.4,0
2011,Nordeste,MA,Santa Luzia,Urbana,Estadual,--,--,--
2011,Nordeste,MA,Santa Luzia,Urbana,Municipal,26.2,26.8,0
2011,Nordeste,MA,Santa Luzia,Urbana,Privada,0,0,--
2011,Nordeste,MA,Santa Luzia,Urbana,Publico,26.2,26.8,0
2011,Nordeste,MA,Santa Luzia,Rural,Total,4.6,4.6,--
2011,Nordeste,MA,Santa Luzia,Rural,Estadual,--,--,--
2011,Nordeste,MA,Santa Luzia,Rural,Municipal,4.6,4.6,--
2011,Nordeste,MA,Santa Luzia,Rural,Publico,4.6,4.6,--
2011,Nordeste,PB,Santa Luzia,Total,Total,45,42.4,57.1
2011,Nordeste,PB,Santa Luzia,Total,Estadual,50,50,--
2011,Nordeste,PB,Santa Luzia,Total,Municipal,52.2,50,57.1
2011,Nordeste,PB,Santa Luzia,Total,Privada,33.3,33.3,--
2011,Nordeste,PB,Santa Luzia,Total,Publico,52,50,57.1
2011,Nordeste,PB,Santa Luzia,Urbana,Total,45,42.4,57.1
2011,Nordeste,PB,Santa Luzia,Urbana,Estadual,50,50,--
2011,Nordeste,PB,Santa Luzia,Urbana,Municipal,52.2,50,57.1
2011,Nordeste,PB,Santa Luzia,Urbana,Privada,33.3,33.3,--
2011,Nordeste,PB,Santa Luzia,Urbana,Publico,52,50,57.1
2011,Nordeste,PB,Santa Luzia,Rural,Total,--,--,--
2011,Nordeste,PB,Santa Luzia,Rural,Municipal,--,--,--
2011,Nordeste,PB,Santa Luzia,Rural,Publico,--,--,--
2011,Nordeste,BA,Almadina,Total,Total,0,0,0
2011,Nordeste,BA,Almadina,Total,Estadual,--,--,--
2011,Nordeste,BA,Almadina,Total,Municipal,0,0,0
2011,Nordeste,BA,Almadina,Total,Privada,0,0,--
2011,Nordeste,BA,Almadina,Total,Publico,0,0,0
2011,Nordeste,BA,Almadina,Urbana,Total,0,0,0
2011,Nordeste,BA,Almadina,Urbana,Estadual,--,--,--
2011,Nordeste,BA,Almadina,Urbana,Municipal,0,0,0
2011,Nordeste,BA,Almadina,Urbana,Privada,0,0,--
2011,Nordeste,BA,Almadina,Urbana,Publico,0,0,0
2011,Nordeste,BA,Almadina,Rural,Total,--,--,--
2011,Nordeste,BA,Almadina,Rural,Municipal,--,--,--
2011,Nordeste,BA,Almadina,Rural,Publico,--,--,--
2011,Nordeste,BA,Arataca,Total,Total,0,0,--
2011,Nordeste,BA,Arataca,Total,Estadual,--,--,--
2011,Nordeste,BA,Arataca,Total,Municipal,0,0,--
2011,Nordeste,BA,Arataca,Total,Publico,0,0,--
2011,Nordeste,BA,Arataca,Urbana,Total,0,0,--
2011,Nordeste,BA,Arataca,Urbana,Estadual,--,--,--
2011,Nordeste,BA,Arataca,Urbana,Municipal,0,0,--
2011,Nordeste,BA,Arataca,Urbana,Publico,0,0,--
2011,Nordeste,BA,Arataca,Rural,Total,0,0,--
2011,Nordeste,BA,Arataca,Rural,Estadual,--,--,--
